Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext,index,id,file
SCHWEIZER,,94471/28,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. (Band)-28,Alfred Zellweger, Uster, 1855-1916; Hans Blumer-Ris,Freiburg, 1902-1953. von Hans Rudolf Schmid.ZUrich:Verein für wirtschaftshistorische Studien,1975.- 24 cm. 113 S. 2 Portr.-Taf. ill.",1336,1336,chunk_0.csv
SCHWEIZER,,94471/31,A,"SchweizerSchweizer Pioniere cter Wirtschaft und Technik. Band 31:Maurice Troillet und das moderne Wallis. Von André GuexZürich, Verein für wirtschaftshistorische Studien, 1977-25cm. 119 S.Abb.Portr.Taf.,mit Karte im Falz.",1339,1339,chunk_0.csv
SCHWEIZER,,94471/32,A,"Schmelzer___________________f 3ZSchweizer Pioniere  der Wirtschaft \md Technik.  Band  32:Drei Schmidheiny:   Jacob Schmidtoeiny,Kantonsrat,1838-1905;Ernst SchmidheinylNationalra1;,l87l-l935i   Jacob SchmidheinyOberst,1875-1955.ZUrich,   Verein für wirtsc",1340,1340,chunk_0.csv
SCHWEIZER,,94471/39,A,"SchweizerSchweizer Pioniere  der Wirtschaft und Technik.  Band  39:Eduard und Wilhelm Preiswert 1829-1895;   1858-1938),  Prä-sidenten der Basler Handels-Gesellschaft. Ton GustavAdolf Wanner.Zürich,  Verein für wirtschaftshistorische Studien,(1984).A	-24c",1347,1347,chunk_0.csv
SCHWEIZER,,94471/41,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. Band 41:Othmar H.Ammann (l879~1965), Ingenieur und Brückenbauer.Von Urs Widmer - Richard Coray {1869-1946), Gerüst- undSeilbahnbauer.Von Jürg Conzett - Guillaume-Henri Dufour(1787-1875), Ingenieur ""u",1349,1349,chunk_0.csv
SCHWEIZER,,94471/42,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. Band 42:Gottlieb Duttweiler ( 1888-1962). Gründer der Migros. VonS i ground Widmer.Zürich,  Verein für wirtschaftshistorische Studien,   (1985)A	-24cm.95  S.ill",1350,1350,chunk_0.csv
SCHWEIZER,,94471/43,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. Band 43!Werner Oswald (l904-1979). Bürge der Ire i i? s t off ver s orgungder Schweiz im Zweiten Weltkrieg. Von Hans U. Rentsch.Zürich, Verein für wirtschaftshistorische Studien, (1935)Ä	-24cm.92 S.i",1351,1351,chunk_0.csv
SCHWEIZER,,94471/46,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. Band 46:Die Brüder öufaux ... Oskar Bider ... Alfred Comte ...V/alter Mittelholzer ... Balz Zimmermann ...(Meilen), Verein fUr wirtschaftshistorische Studien,(1987).	A          -24cm.99 S.ill.^",1354,1354,chunk_0.csv
SCHWEIZER,,94471/47,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik!  Band 47:Jakob Furrer (1818-1889);  Jakob Albert Welti-Furrer(l833-1906);   Carl Adolf flelti (1871-1951). Welti-Furrer-EinStück ZUrcher Transportgescliichte.  Von René Bondt.Meilen,   Verein für wir",1355,1355,chunk_0.csv
SCHWEIZER,,94471/48,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. Band 46îDrei Generationen Saurer:Franz Saurer\1806-1882);AdolphSaurer(l841-192o);Hippolyt Saurer<1878-1936>. Von MarkusMäder.Meilen: Verein für wirtschaftshistorische Studien,(1988)A	-24cm.95 S.illG ",1356,1356,chunk_0.csv
SCHWEIZER,,94471/54,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. Band 54:Friedrich von Martini ( 1833-1897). Universeller Erfinderund Konstrukteur. Yon Christoph Bischof.Meilen:  Verein für wirtschaftshistorische  Studien,(1992),-24cm.88  S. ,Ahb. »Portr.",1362,1362,chunk_0.csv
SCHWEIZER,,94471/55,A,"Schweizer	r~r       /   /oT*       £>Schweizer Pioniere  der Wirtschaft und Technik.   55s.       Lang,   Norbert.       Charles E.L.Brown,   1863-1924  -Walter Boveri,   1865-1924...",1363,1363,chunk_0.csv
SCHWEIZER,,94471/59,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. 59s.   Kläy, Hans R.   Franz BurcKhardt, 1809-1882;August Burokhardt, 1851-193-9 . ..",1367,1367,chunk_0.csv
SCHWEIZER,,94471/62,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. 62s.  Furrer, Alfred J.   200 Jahre Rieter,1795-1995. 2 Bände ...",1370,1370,chunk_0.csv
SCHWEIZER,,94471/65,A,"SchweizerSchweizer Pioniere der Wirtschaft und Technik. 65s.   Tremp, Ernst.   Mönche als Pioniere:Die Zisterzienser im Mittelalter.",1373,1373,chunk_0.csv
SCHWEIZER,,94471/67,A,SchweizerSchweizer Pioniere der Wirtschaft und Technik. 67s.   Schweizer Wegbereiter des Luftverkehrs :Theodor Real (1871-1971) ...,1375,1375,chunk_0.csv
SCHWEIZER 1998,,,A,"SchweizerSchweizer PR- & Medien-Verzeichnis = Répertoire RP & Mé-dias  suisses = Swiss PR & Media directory.p Ausgabe^   -2 ^/s€ o. 'S***. ****[Forts. v.: Public relations-Verzeichnis = Répertoire desrelations publiques = Public relations .., 10, A.., 198",1376,1376,chunk_0.csv
SCHWEIZER ROTARIER,,94549,A,"Schweizer      ñotarier	94'549Der Schweizer Rotarier,   I960,  Nr.10,  mit Artikel  ""Lebens-versicherung und  Geldentwertung""  von Riccardo  James  Jagmetti",1379,1379,chunk_0.csv
SCHWEIZER,,91477,A,"SchweizerSchweizer Schlachtfelder = Champa de batailles suisses= Campi di battaglia svizzeri. Cahiers d'histoire etde prospective militaire. [Herausg.von der] (Eidgenössi-schen Militärbibliothek.)(BerniEidgenössiache Drucksachen- und Materialzentrale,[197",1381,1381,chunk_0.csv
SCHWEIZER 1985,,,A,"S   chvreizerSchweizer Studienf Uhrer, ^.Auflage H igS3-85)f = Guide deeátudea en Suisse/ffei édition (a9Qg-03tHerausge'ber:Schwei-zerische Arbeitsgemeinschaft fur akademische Berufs- undStudienberatung(AGAB), Verband der Schweizerischen Stu-dentensohaf t",1383,1383,chunk_0.csv
SCHWEIZER,,83289,A,"SchweizerSchweizer Videotex-Guide = Guide vidéotex suisse 1992/93Hrsg. in Zusammenarbeit mit der SVIPA. Redaktionsschluss:51. Juli 1992.Zürich:   Orell Füssli,   Informatioaswerke,   1992.         -21cffi.•128  S.-  u~~ö~*",1386,1386,chunk_0.csv
SCHWEIZER ZEITFRAGEN,,,A,"Schweizer       Zeitfragen(Schweizer  Zeitfragen,   57}s.Fick.F        Die verschleierte und schieberhafteGründung von Aktiengesellschaften.     1922.1122f",1393,1393,chunk_0.csv
SCHWEIZER,KURT,12340,A,"Schweizer  ,  KurtSchweizer, Kurt.  Rechtliche Grundlagen der Anwartschaftauf eine Stif tungsleistung in der beruflichen Vorsorge.'Ermessensleistungen, a""b an der ""bar e Leistungen, Sozialplan-leistungen und ähnliche Leistungsprobleme» (Dias .Univ. Zü-ric",1398,1398,chunk_0.csv
SCHWEIZER,RAINER J.,,A,"Schweizer  ,  Rainer  J.Schweizer, Rainer, J.j Leumann, Beat.  Informatik- undDatenschutzrecht = Droit de l'informatique et de la pro-tection des données. 2 Bde. (Bd.[l]: Informatikrecht =Droit de l'informatique*, Bd.[2]: Datenschutzrecht =Droit de la pro",1401,1401,chunk_0.csv
SCHWEIZER,WILLY,91664,A,"Schweizer,     WillySchweizer,   Willy.     Probleme  der ""beruflichen Altersvorsorgeaus der Sicht  empirischer Untersuchungsergebnisse.Bern,Stuttgart,   Verlag Paul Haupt,	(1981).            -21cm.55  S.A	'            Tab.1Q14.2	X?",1407,1407,chunk_0.csv
SCHWEIZERDEGEN,,72265,A,"Schweizerdegen	72265Schweizerdegen, der.Herausg.v.d.Offizin zum FroschauerArt.Institut Orell FUssli A.G. Zürich.Heft 1,1941 - 14,1954.Zürich 1941-1954.",1412,1412,chunk_0.csv
SCHWENDENER,HANS,6176,A,"Schwendener .HansSchwendener,fíans. Schweizer Transportreclit.Mit besonderer Berücksichtigung der Verträge über denTransport von Personen, Gepäck, Gütern und Tieren aufEisenbahnen und Dampfschiffen.Darstellung in Fragen und Antworten.Grell Püssli's prakti",1414,1414,chunk_0.csv
SCHWERE,HANS,,A,"Schwere  ,  HansSchwere, Hans.  Installations- und Apparatekunde für Elektromonteure, 5.Auflage.Aarau, Verlag Der Elektromonteur, 1976.  -21cm. 528+23 S17255",1417,1417,chunk_0.csv
SCHWERI,E.,,A,"Schwer! , E.Schwer!,E. Leitfaden für Ihr Testament. Gesetzliche Erben;Pflichtteilsrecht ... . 4., neu bearbeitete Auflage.(Die Organisator-Bücher. Nr.22.)&lattbrugg/Zürich:Verlag Organisator; Stuttgart :ForkelVerlag,(1971) .	- 21 cm. 136 S. Fig.12330",1418,1418,chunk_0.csv
SCHWERPUNKTE,,,A,"S chwerpunkteSchwerpunkte. Eine systematische Darstellung der wichtig-sten Rechtagebiete anhand von Fällen. (Band II)s.  Vfestermann, Harm Peter.   BGB-Schuldrecht, Allge-meiner Teil ...",1421,1421,chunk_0.csv
SCHWERTFEGER,BAERBEL,87683,A,"Schwertfeger  ,  BärbelSchwertfeger, Bärbel.   Der Griff nach der Psyche. Wasumstrittene Persönlichkeitstrainer in Unternehmen an-richten . Vorwort von Lutz von Rosenstiel.Frankfurt/Main: Campus Verlag (GmbH, 1998).      -21cm.^	300 S.37360 ,37630,",1423,1423,chunk_0.csv
SCHWERTFEGER,RICHARD,,A,"Schwertfeger   t   R  i   c  h.a r  ds.   Flüeler,Niklaue¡   Sch'R'.   Die  Schweiz  von morgen,",1424,1424,chunk_0.csv
SCHWETTER,H.,,A,"Schwetter.HSchwetter,H         Organisation und Buchführung im Feuer-versi oherungsge s chäft.{Wien:Carl Fromme 1912.)	(234 5.)•S""",1425,1425,chunk_0.csv
SCHWOERER,EMIL,97247,A,"Sohwörer  , EmilScbwörer, Emil. Nieder-Temperaturení Redaktionelle Be-arbeitung: O.Helbllngî Produktionsleitung: K.H.Troiler,[gestutzt] auf die Fachputlikation ""Lovtherm"" [von] B'S1([ Zurich], SAGES Scüweizerieche Aktion Gemeinsinn fürEnergieeparen, [l982",1428,1428,chunk_0.csv
SCHWYZ / KANTON,,1649/SZ-7,,-7Schwyz/  Kanton	'      'S chwy z/Kanton.  Einführungsgesetz zum SchweizerischenZivilgesetzbuch (vom 14. September 197ß) - Verordnungüber die Beurkundung und Beglaubigung (vom 28. Juni 1979).Schwyz 1987.	-21cm.,1430,1430,chunk_0.csv
SCHWYZ / KANTON 1998-2000,,6593,A,"Schwyz/KantonSchwyz/Kanton.   Staatskalender  des  Kantons  Schwyz  fürdie   Jahre )1966-1Q68>48693,",1432,1432,chunk_0.csv
SCHWYZ / KANTON,,1649/SZ-3,A,Schwyz / Kanton:   Gesetz Über das kantonale Strafrechtvom 15.Januar 1972.,1434,1434,chunk_0.csv
SCHWYZ / KANTON,,1649/SZ-6,A,Schwyz     /     KantonSchwyz / Kanton:       Verordnung líber die Verwaltungarechts-pflege  vom  6.Juni   1974.   Stand  1976.,1435,1435,chunk_0.csv
SCYBOZ,GEORGES,86421,,"Georges^       Y<^* /Scyt>oz, Georges; Gillié>on, Pìerre-Ro""bert. Code civilsuisse et code des obligations annotés, 4e édition miseà jour, (2e tirage). Introduction de Jean Gauthier.Lausanne:   Editions Payot, (^990).	-19cm.XX,772+672  p30044,50371,      ",1444,1444,chunk_0.csv
SCYBOZ,GEORGES,81119,A,"S e y b o z  ,  GeorgesScyboz, Georges; Gilliéron, Pierre-Robert. Code civilsuisse et code des obligations annotés. 3e édition miseà jour. Introduction de Jean Gauthier.Lausanne, Editions Payot, 1983.        -19cm.XIX,600 p,Kein SWK20917,",1445,1445,chunk_0.csv
SCYBOZ,GEORGES,82440,A,"Scyboz     ,     GeorgesSoyboz, Georges; Giliieron, Pierre-Robert.   Code civilsuisse et Code des obligations annotés. 2e édition miseà jour, publiée sous la direction de Pierre Cavin.Intro-duction historique de Jean Gauthier.Lausanne,   Editions Payot,  ",1446,1446,chunk_0.csv
SE,,83369,A,"SeS'entraîner à. raisonner juste, pour mieux se comprendreet mieux s'entendre. Séminaire de Laurent Godbout. 2parties, (partie li Connaissance du problème. 119 P-îpartie 2: Applications pratiques. 97 p.). Formationpermanente en sciences humaines; Collecti",1447,1447,chunk_0.csv
SEAL,HILARY L.,3807,A,"Seal,   Hilary    L.Seal, Hilary L. Stochastic theory of a risk business.New York,   London:John Wiley ft Sons,Inc.,(1969).   -8   ,XIII,210  p.,   tab.10635",1451,1451,chunk_0.csv
SECURITY,,,A,"SecuritySecurity,   socials.       Social  security",1466,1466,chunk_0.csv
SEIDENSTOFFWEBEREI,,5270,A,"SeidenstoffwebereiSeidenstoffweberei Schönenberg, 1863-1963. (Zusammenge-stellt von Erwin Brüllraann.) Illustr.Schönenberg 1963.	(133 S.)G 879",1491,1491,chunk_0.csv
SEIDL,,81378,A,"S e i d 1	Si'378Seidl-Hohenveldern, Ignaz. Internationales Konfistations-•and Enteignungsrecht.(Beiträge zum ausländischen und internationalen Privatrecht,23).Berlin:Gruyter 1952.	(XI+211 S.)Ä^K 2828",1493,1493,chunk_0.csv
SEMINAIRE,,91163,A,"S éminaireSéminaire OPPF 1986. Exposés con.oern.ant des sujets d'ac-tualité relatifs à la LFF et à la gestion des caisses deretraite (avec liste des publications sur le 2e pilier).2e édition.[Berne],Office de la prévoyance professionnelle et de lasurveill",1520,1520,chunk_0.csv
SEMINAIRE,,83543,A,"SéminaireSéminaire ""Prévoyance professionnelle et communi cati on""mardi 25 mai 1993 à Lausanne . [internationale Tagung].Lutry:   K &  S Kulan &  Seal  SA,   1993.	-31cm.Classeur31634",1521,1521,chunk_0.csv
SEMINAIRE,,97079/1.2,A,"SeminarSeminar, matbematisch-versicherungswiesenschaftliches,der Universität Bern.Verzeichnis der Vorträge, gehalten im Hathematisolî-ver8ioheru.ng8wieaenschaftlich.en Seminar SS 1902 bisWS 1951/52 - Verzeichnis der Doktoranden und Dissertationenin Vereic",1522,1522,chunk_0.csv
BUNDESSTEUER 1987/88,,,A,"BundessteuerBundessteuer, direkte. Statistik der VeranlagungsperiodeOl903/04|g Impôt fédéral direct. Statistique de la périodede taratio/p.903/Q4l Statistische Resultate. 18:0eff entli-ehe Finanzen. Amtliche Statistik der Schweiz. Nr. 158.[Ports. vom Wehr",1632,1632,chunk_0.csv
BUNDESVERFASSUNG,,91390,A,"BundesverfassungBundesverfassung, die - wie sie sein könnte. 2. unverän-derte Auflage. Verf aasungsentwurf . Erarbeitet von Studen-ten der juristischen Fakultät der Universität Basel unterLeitung von Max Im'boden.BaseltHelbing & Lichtenhahn, 1968. -8 , 19",1644,1644,chunk_0.csv
BAEDER,,70711,A,"Bäder-Bäder-uttd Verkehre-Führer , internationalerZürich :Interverlag A. G.   (1933).	(40,80? p.)W2160",1791,1791,chunk_0.csv
BAETTIG,MICHEL,6418,A,"Baettig,  Michel	** 'Baettig, Michel.   Ceux qui font Genève.Photos de MickDesarzone.Caricatures de Pécub et de J.-F.Renaud,(Genève), Sonor S.A., 1977.       -18cm.257 p. Portr,G Dr.Diener",1827,1827,chunk_0.csv
DURTSCHI,ERNST,98037,A,"Durtscni   .ErnstDurtechl, Ernst. Festschrift zum fünfzigjährigen Bestehen[des] Verband[es] ostschweizerischer landwirtschaftlicherGenossenschaften {V.O.L.G.) Wintertfcur 1886-1936.Winterthur:G.Binkert A.G.,Dr.  [1956].       (VIII,385 S.)(Dr.)",2711,2711,chunk_0.csv
DUSS,MARCO,85547,A,"Duss  »  MarcoDuss, Marco.  Verfahrensrecht in Steuersachen. Leitfadenzu Veranlagungs- und Rechtsmittelverfaiiren. für Praxisund Ausbildung. (Schriftenreihe der Schweizerischen Treu-hand- und Revisionskammer. Band 76).(ZUrich),	Schweizerische Treuhand- un",2712,2712,chunk_0.csv
DUTHALER,HEINRICH,,A,"Duthaler  .Heinrich(Duthaler,  Heinrich).    Basler Versicherungs-Gesellschaftgegen Feuerschaden 1863-1938.Illuatr.(Basel 1939).	(183 S.)G 145	,        (Dr.)2726",2713,2713,chunk_0.csv
DUTT,CHRISTOPH,83777,A,"Dutt  ,  Christoph.Dutt, C(hristoph); Hawa, M(ohamed; Hrsger).   Gestaltenmit Word für Windows 6.0. Schreiten, layouten, automa-tisieren. [MitnDiskette].(München): te-wi Verlag GmbH, (1994).      -24cm„44S S32561,33065,	^",2714,2714,chunk_0.csv
DUTTWEILER,GEORGES,4586,A,"Duttweiler , GeorgesDuttweiler , Georges . les 20000 phrases et expressions dela correspondance commerciale et privée suggérées parles mots— clés classés alphabétiquement et traduits enanglais et en allemand.Geneve:Ed.Générales,(I960) .	(432 p.)9958",2718,2718,chunk_0.csv
DUVAL,ALAIN,,A,"D u v a l     ,     Alain6.      Rolaert-Coliine.       Dictionnaire français-anglais;anglais-français par Beryl T.Atkins,  A'D'   ...",2721,2721,chunk_0.csv
DUVVURI,STEFAN A.,87766,A,"Duvvuri  ,  Stefan   A.Duvvuri, Stefan A.; Schäfer, Thomas (Hrsger).   Quali-tätsmanagement-Report der Banken.(Wiesbaden: Betriebswirtschaftlicher Verlag Dr. Th.)Gabler (GmbH, 1998).	-21cm.XXIII,419 S.37538	™",2726,2726,chunk_0.csv
DYLLICK,THOMAS,97377/96,A,"Dyllick ,  ThomasDyllick, Thomas.  Oekologisch bewusstes Management. DieOrientierung. 96.(Bern)î Schweizerische Volksbank, (1990).   -30cm.60 S.",2730,2730,chunk_0.csv
DYMOWSKI,TAD,,A,"Dymowski   , T a dDymowsJci,Tad	Die Kapitalverhältniese der schweize-rischen Versicherunge-GeSeilschaften.Mitteilungen aus dem handelswissenschaftlichen Seminar derUniversität Zürich,  Heft 34.Zürich:Schulthess <5b Co.   1917-	(22 S.)",2731,2731,chunk_0.csv
DYNKIN,E.B.,3677,A,"D y n k i n , E. B.Dynkin.E.B.j Juschkewitsch,A.A. Sätze und Aufgaben ÜberMarkoffsche Prozesse. Aus dem Russischen übersetzt vonK.SchUrger. (Heidelberger Taechenbücher. Band 51.)Berlin,Heidelberg,New York:Springer,1969. -8°, XII,220 S., 56 Abb.10654",2732,2732,chunk_0.csv
DYSON,PETER,87671,A,"Dyson  ,  PeterDyson, Peter.  Mastering Microsoft Internet informationServer 4. (2nd edition).(Alameda, CA): Sybex (Inc., 1998).	-23cm.Ä     XXXII,909 p.,l CD-ROM.",2733,2733,chunk_0.csv
