Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext
FRAU BOZZATO (CH/STSD),,87808,S,"87' 808________________________Frau Bozzato (CH/STSD)Pons Grosswörterbuch für Experten und Universität: Fran-zösisch-Deutsch/Deutsch-Französisch. Mit Daumenregister.(1. Auflage 1996, Nachdruck 1998. Französischer Ausgangs-text: Jean Chassard u.a. Deutsche"
FRAU BOZZATO (CH/STSD),,87809,S,"87'809        ________________Frau Bozzato (CH/STSD)Pons Fachwörterbuch Bank- und Finanzwesen: Englisch-Deutsch/Deutsch-Englisch. Von P.H.Collin, Eva Torkar,Rupert Livesey. (1. Auflag 1993, Nachdruck 1997).Stuttgart: Ernst Klett Verlag (für Wissen und Bil"
FRAU BOZZATO (CH/STSD),,87810,S,"87*810_________________________Frau Bozzato (CH/STSD)Hartman, Stephen W.; Capala, John J.   Dictionary ofInternational business terms. (Barron's business guides).Hauppauge, NY; Barron's Educational Series, Inc., 1996).-18cm.VII,584 p."
FRAU BOZZATO (CH/STSD),,87811,S,"87'811	Frau Bozzato (CH/STSD)Dicomanagement: '^essentiel du management de A à Z. Tra-duit de l'anglais par Florence Paban ""Pocket manager.The essentials of practical management from A to Z"" /The Economist books.(Paris): Les Editions d1Organisation, (1994)"
FRAU BOZZATO (CH/STSD),,87812,S,"87*812	Frau Bozzato (CH/STSD)Dicofinance. L'essentiel de la finance de A à Z. Traduitde l'anglais par Florence Paban - ""Pocket finance. Theessentials of the world of finance from A to Z"" f TheEconomist books.(Paris): Les Editions d'Organisation, (1994).  "
FRAU BOZZATO (CH/STSD),,87813,S,"87'813	Frau Bozzato (CH/STDS)Dicomarketing. L'essentiel du marketing de A à Z. Tra-duit derl'anglais par Laurence Nicolaieff - ""Pocketmarketing. The essential of successful marketing fromA to Z"" / The Economist books.(Paris): Les Editions d'Organisation, "
FRAU RODEL (CH/U4),A.,87814,S,"87'814   '	Frau A. Rodel (CH/U4)Bruhin, Alexander.   Pensionskassen Management. Führungs-strategien für Stiftungsräte.Thun: Ott Verlag, (1997).	-24cm.192 S,"
DR.REIMER (CH/IFUE),,87815,S,"87'815	Dr.Reimer (CH/IFUE)Bullinger, Hans-Jörg ; Wörner, Kai ; Prieto, Jüan.  Wis-sensmanagement heute. Daten, Fakten, Trends./ FraunhoferInstitut Arbeitswirtschaft und Organisation IAO; Kunden-management-Cent rum.(Stuttgart: Nobelstrasse 12, 1997).      "
DR.REIMER (CH/IFUE),,87816,S,"87'816	Dr.Reimer (CH/IFUE)Bullinger, Hans-Jörg; Hase, Beate.   KundenorientiertesQualitätsmanagement im FuE-Bereich. Daten, Fakten,Trends ,Ergebnisse einer Unternehmensstudie in Deutschland / IAOFraunhofer Institut Arbeitswirtschaft und Organisation.(Stut"
VD DR.FEHR (PF/GSRD),,87817,S,"87'817	VD Dr.Fehr (PF/GSRD)Rechtsfragen um dieiAktionärbindungsverträge. Mit Bei-trägen von Jean Nicolas Druey, Peter Böckli, Peter NobelSchriften zum neuen Aktienrecht. 13.Zürich: Schulthess Polygraphischer Verlag AG,(1998).-23cm.101 S,"
WELSH (CH/IE),R.,87818,S,"87*818	R. Welsh (CH/IE)Orfali, Robert; Harkey, Dan.   Client/server programmingwith Java and Corba. 2nd edition. With 1 CD-ROM.New York: John Wiley & Sons, Inc., (1998).        -24cm.XXXVI,1022 p.,1 CD-ROM."
VD DR.FEHR (PF/GSRD),,87819,S,"87'819	VD Dr.Fehr (PF/GSRD)Rebsamen, Karl.   Die Aktiengesellschaft nach neuemRecht in der Handelsrégisterpraxis. (Anhang zu Rebsamen,Karl. Handbuch für das Handelsregister unter besondererBerücksichtigung der Basler Praxis, 1993).Basel: Notariats-Kammer "
GUGAYA (CH/ITSE),H.,87820,S,"87*820	Gugaya, H. (CH/ITSE)X/Open CAE specification: Generic Security Service API(GSS-API) base. (X7Open document, no. C441).Reaing, UK: X/Open Company Limited, 1995T-27cm.X!V, 114 p,"
GD DR.MÜHLEBACH (D),,87821,S,"87*821	GD Dr.Mühlebach (ID)European insurance basic data 1997: Gentries and markets,number of companies, number of undertaking employees,data in national currency, data in ECU. CEA eco. May 1998,no.5 / Comité Européen des Assurances.(Paris: CEA Comité Eur"
GD DR.MÜHLEBACH (D),,87822,S,"87'822	GD Dr. Mühlebach (ID)Life insurance market, the European, in 1996-1997: Turn-over, real growth, benefits, insurer's commitments, lifeinsurance contracts, 1993-1996 statistics. CEA eco. May1998, no. 4 / CEA Comité Européen des Assurances.(Paris: CEA"
FRAU WEGMANN (ED),,87823,S,"87'823	CD Dr. Mühleboeh (ID)European insurance in figures 1997 / CEA Comité Européendes Assurances.(Paris: CEA Comité Européen des Assurances, 1998).-30cm.105 p."
SCHNIZER (CH/IA),M.,87824,S,"87*824	M. Schnizer (CH/IA)Aubley, Curt. Tuning and sizing NT server. (PrenticeHall series on Microsoft technologies). With 1 CD-ROM.Upper Saddle River, NJ: Prentice-Hall PTR, (1998).-24cm.XXIII,399 p.,1 CD-ROM."
FRAU BOZZATO (CH/STSD),,87825/1-4,S,"87-825/1-4	Frau Bozzato (CH/ST-Ti?)Gabler Wirtschaftslexikon. 14., vollständig überarbeite-te und erweiterte Auflage. 4 Bände. (Bd I:A-E; Bd.2:F-K;Bd.3: L-SO; Bd.4: SP-Z}.(Wiesbaden: Betriebswirtschaftlicher Verlag Dr. Th.)Gabler (GmbH, 1997).	-24cm.4 Bde"
FRAU BOZZATO (CH/STSD),,87826,S,"87'826	Frau Bozzato (CH/STSD)Robert, Paul.   Le petit Robert des noms propres, alpha,bétique et analogique, illustré en couleurs. Rédactiondirigée par Alain Rey. Nouvelle ödition refondue et aug-mentée.Paris : Dictionnaires Le Robert, (1997).	-24cm.XXIX,2"
FRAU BOZZATO (CH/STSD),,87827,S,"87*827	Frau Bozzato (CH/STSD)Dictionnaire de proverbes et dictons. Choisis et pré-sentés par Florence Montreynaud; Agnès Pierron, FrançoisSuzzoni. (Collection) Les usuels du Robert.Paris: Dictionnaires Le Robert, (1997).	-18cm.XXV,759 p."
FRAU BOZZATO (CH/STSD),,87828,S,"87'828	Frau Bozzato (CH/STSD)Rodriguez, F(laviano); Marchetti, N(atale).   Corrispon-denza commerciale italiana. (13a ristampa).(Milano): Edizioni scolastiche Bruno Mondadori, (1995).-23cm.272 p."
FRAU BOZZATO (CH/STSD),,87829,S,"87'829	Frau Bozzato (CH/STSD)Corrispondenza commerciale italiana di Ostilio Arri.Durchgesehen und verbessert von Roberto Geisseler undAugusto Colombo. (8. Auflage, Nachdruck 9}.Zürich: Verlag des Schweizerischen Kaufmännischen Ver-bandes, (1990).	-21cm.15"
FRAU BOZZATO (CH/STSD),,87830,S,"87'830	Frau Bozzato (CH/STSD)Gianini, Grazie!la.   Dizionario tecnico per 1'ediliziae il genio civile: Italiano-tedesco = Fachwörterbuchfür das Bau- und Ingenieurwesen: Deutseh-Italienisch.(Lugano: Fontana Edizioni SA, 1990).      -21cm.582 p."
FRAU BOZZATO (CH/STSD),,87831,S,"87'831	Frau Bozzato (CH/STSD)Quartu, B.M.   Dizionario dei modi di dire della linguaitaliana. 10'000 modi di dire ed estensioni figurate inordine alfabetico per lemmi portanti e campi di signifi-cato. Biblioteca universale Rizzoli.(Milano: RCS Rizzoli Lib"
FRAU BOZZATO (CH/STSD),,87832,S,"87*832	Frau Bozzato (CH/STSD)Atlante storico Garzanti. Cronologia della storia uni-versale. (Nuova edizione ampliata e aggiornata).(Milano: Garzanti Editore s.p.a., 1994).         -19cm.783 p."
DR.KUHN (PF/GS),,87833,S,"87*833	Dr. Kühn (PF/GS)Wiegand, Wolfgang.   Die EinfHrung des Euro. Auswirkun-gen auf privatrechtliche Rechtsverhältnisse in derSchweiz. {Berner Bankrechtliche Abhandlungen. Band 4).Bern: Stampfli Verlag AG, 1998.         -23cm.XXI,127 S."
CAVIGELLI (CG/PEQM),,87834,S,"87'834	Cavigeili (CG/PEQM)_______Guide, coach's, to the Memory Jogger II. The easy-to-use,complete reference for working with improvement and plan-ning tools in teams.Methuen, MA: GOAL/PC, (1995).	-28cm.XVIII,254 p,"
BIBLIOTHEK,,87835,S,"87-835	BibliothekBaldenweg-Bölle, Ulrike.   Kollektive Altersvorsorge undflexibles Rentenalter in der Schweiz. Empirische Unter-suchung des Einflusses der kollektiveen AItersVorsorgeauf den Seitpunkt des Uebertritts in den-Ruhestand beiflexibler Ausgestal"
SEKRETARIAT (CH/IT),,87836,S,"87*836	Sekretäriat(CH/IT)_______Longman dictionary of contemporary English. 3rd edition.(Harlow, Essex: Longman Group Ltd, 1995).         -23cm.XXII,1668,22 p."
ZANDBERGEN (CH/IK),,87837,S,"87'837	Zandbergen (CH/IK)Oram, Andrew; Talbott, Steve.  Managing projects withMake.. (2nd edition, revised and expanded, minor correc-tions. C programming utility. A nutshell handbook).Sebastopol, CAï O'Reilly & Associates, Inc., (1993).-23cm.XVIII,149 p."
WEGMANN (CH/UNS),AXEL,87838,S,"87'838	Wegmann, Axel (CH/UNS)Harold, Elliotte Rusty.   Java network programming.(Sebastopol, CA): O'Reilly(& Associates, Inc., 1997).-24cm.XVII,422 p"
FRAU BOZZATO (CH/STSD),,87839,S,"87'839	Frau Bozzato (CH/STSD)Black, John.   A dictionary of economics. (Oxford paper-back reference).Oxford: Oxford University Press, (1997).  -20cm.VI, 511 p"
SPALINGER (MS/IBASD),P.,87840,S,"87'840_______________________5palinger,P. (MS/IBASD)Friend,, Hacker's best. Alle Tools der Hackerszene. Daten-schutz-CD, Version III. Handbuch, mit CD-ROM.Oldenburg: UTECH Verlagsgesellschaft mbH, 1998.   -22cm.1 CD-ROM."
SAI (CH/IX),P.,87841,S,"87-841	Sai, P. (CH/IX)Orfali, Robert; Harkey, Dan.  Client/server programmingwith Java and Corba. 2nd edition. With 1 CD-ROM.New York: John Wiley & Sons, Inc., (1998).       -24cm,XXXVI,1022 p.,1 CD-ROM."
SAI (CH/IX),P.,87842,S,"87'842___________________________Sai, P. (CH/IX)_____Orfali, Robert; Harkey, Dan; Edwards, Jeri.  The esen-tial client/server survival guide. 2nd edition.New York: John Wiley & Sons, Inc. 1996.	-24cm.XXVI,676 p."
BIBLIOTHEK,,87843,S,"87'843    -	fe  Widgr (CM/VAS)/,—.r^—,-— ySchwertfeger, Bärbel.   Der Griff nach der Psyche. Wasumstrittene Persönlichkeitstrainer in Unternehmen an-richten. Vorwort von Lutz von Rosenstiel.Frankfurt/Main: Campus Verlag (GmbH, 1998).  -21cm.300 S"
FRAU BOZZATO (CH/STSD),,87844,S,"87'844	Frau Bozzato (CH/STSD)Guide du typographe romand. Règles et grammaire typo-graphiques pour la préparation, la saisie et la correc-tion des textes ... 5e édition ...(Lausanne: Héliographia SA, 1993.	-23cm.213 p"
WINZ (PF/PR),M.,87845,S,"87*845	M. Winz (PF/PR)Wahrig, Gerhard.   Deutsches Wörterbuch. Neu herausgegebevon Renate Wahrig-Burfeind ... Neuauflage 1997.(Gütersloh): Berteismann Lexikon Verlag (GmbH, 1997).-28cm.1420 S."
FRAU RIPPSTEIN (CH/U2),,87846,S,"87'846	Frau Rippstein (CH/U2)Duden.   Sinn- und sachverwandte Wörter. Synonymwörter-buch der deutschen Sprache ... Neudruck der 2.Auflage.Mannheim: Dudenverlag, (1997).	-20cm.858 S,"
SENG (CH/IX),F.,87847,S,"87*847	Seng, F. (CH/IX)Müller, Mirko.   Das Outlook 97 Buch. (2. Auflage).(Düsseldorf): Sybex-(Verlag GmbH, 1997).         -25cm,XIV,609 S."
FRAU BOZZATO (CH/STSD),,"87848/1,2",S,"87'848/l,2	Frau Bozzato (CH/STSD)Nosetti, Orlando.   Introduzione alla contabilità finan-ziaria. Teoria ed esercizi. (2a edizione, riveduta ecorretta). 2 volumi,(Losone: Tipografia Poneioni SA, 1992}.  -24cm.2 volumi."
FRAU BRAIDE (ID),,87849,S,"87'849	Dr. Mühlobaoh (ID)Kubr, Thomas; Ilar, Daniel, Marchesi, Heinz. Planen,gründen, wachsen. Mit dem professionellen Businessplanzum Erfolg.(Zürich: McKinsey & Company, Ine., 1997).        -24cm.IV,191 S."
FRAU BOZZATO (CH/STSD),,87850,S,"87*850	Frau Bozzato (CH/STSD)Black Jr., Kenneth; Skipper Jr., Harold D.   Life in-surance. 12th edition (Prentice-Hall series in securityand insurance).Englewood Cliffs, NJ: Prentice-Hall,(Inc., 1994).—24cm.XVIII, 1064 p."
WEGMANN (CH/UNS),A.,87851,S,"87'851	Wegmann, A. (CH/UNS)Software architecture, pattern-oriented. A system ofpatterns. By Frank Buschmann, Regine Meunier a.o. (Re-print) .Chichester, UK: John Wiley & Sons, (Ltd, 1996).-25cm.XVI,467 p."
BRÄM (CH/STRD),P.,87852,S,"87'852	______Bräm, P (CH/STRD)Baldenweg-Bölle, Ulrike.   Kollektive Altersvorsorge undflexibles Rentenalter in der Schweiz. Empirische Unter-suchung des Einflusses der kollektiven Altersvorsorgeauf den Zeitpunkt des Uebertritts in den Ruhestand ...Bern: P"
DR.KUHN (PF/GS),,"87853/1,2",S,"87'853/l,2	Dr.Kühn (PF/GS)Handbuch über die autonomen ürsprungsregeln (erstelltdurch den Dienst für Ursprungs- und Zollfragen sowieöffentliches Beschaffungswesen, Bundesamt für Aussen-wirtschaft BAWI, Bern in Zusammenarbeit mit dem Ur-sprungsausschuss der"
GD SCHNEEBELI (TR),,87854,S,"87'854_________________________ GD Schneebeli fTRlAeppli, Heinz.   OR Schweizerisches Obligationenrecht.Mit Nebengesetzen und Verordnungen. Hrsg. und mit Anmer-kungen versehen von H'A'. (32., überarbeitete Auflage).(Zürich): Grell Füssli Verlag, (1997).  "
FRAU BOZZATO (CH/STSD),,87855,S,"87*855	Frau Bozzato (CH/STSD)Sankey, Judith A. (Ed.).   Employee benefit plans: aglossary of terms. 9th edition.Brookfield, WI: International Foundation of EmployeeBenefit Plans, 1997.	-28cm.IX,176 p,"
DR.MÜHLEBACH (ID),,87856,S,"87'856	Dr. Mühlebach (ID)______Success analysis of Swiss direct investments in the P.R.China. Representative survey, March 1998. A study con-ducted by Roland Berger & Partner GmbH, InternationalManagement Consultants and the Economic & CommercialSection a"
FRAU BOZZATO (CH/STRD),,87857,S,"87'857	Frau Bozzato (CH/STRD)Enciclopedia dell'economia Garzanti. (la edizione, ri-stampa ).(Milano): Garzanti (Editore s.pa., 1997).  -I9cm.l296"
FRAU BOZZATO (CH/STRD),,87858,S,"87'858	Frau Bozzato (CH/STSD)Maders, Henri-Pierre; Clet, Etienne.   Le management d'un projet. Aide-mémoire à l'usage des chefs de projetr4e tirage. Mémentos-eo.Paris: Les Editions d'Organisation, 1998..  -19cm.62 p."
FRAU BOZZATO (CH/STRD),,87859,S,"87'859	Frau Bozzato (CH/STSD)Cicile, Jean-Michel.   Terminologie bancaire financièreet économique: allemand-français.(Paris): La Revue Banque Editeur, (1995).   -24cm.93 p."
FRAU BOZZATO (CH/STRD),,87860,S,"87'860	Frau Bozzato (CH/STSD)Bertozzi, Paride.   Dizionario dei termini sindacali edel lavoro. Guida pratica per la conoscenza delle parolechiave del mondo del lavoro.(Roma): Edizioni CieRre, (1998).	-21cm.lll p."
GIULIERI (CH/UNS),M.,87861,S,"87'861	Giulieri, M. (CH/UNS)Design patterns: Elements of reusable object-orientedsoftware. By Erich Gamma, Richard Helm a.o. (Addison-Wesley professional computing series).Reading, MA: Addison-Wesley Publishing Company, (1995).-25cm.XV,395 p,"
GIULIERI (CH/UNS),M.,87862,S,"87*862	Giulieri, M. (CH/UNS)Design patterns: Elements of reusable object-orientedsoftware. By Erich Gamma, Richard Keim a.o. (Addison-Wesley professional computing series), 1 CD-ROM.Reading, MA: Addison-Wesley Publishing Company, (1998).-24cm.1 CD-ROM."
BIBLIOTHEK,,87863,S,"87'863	; Mrrttl i (M^/IDHT)_______Boutellier, Roman; Locker, Alwin.   Beschaffungslogistik,Mit praxiserprobten Konzepten zum Erfolg.München: Carl Hanser Verlag, (1998).      -24cm.XI,244 S,"
BIBLIOTHEK,,87864,S,"87'864__________________________»aCLll (MO/TEINT)Boutellier, Roman; Völker, Rainer.   Erfolg durch inno-vative Produkte. Bausteine des Innovationsmanagements,München: Carl Hanser Verlag, (1997).       -24cm.181 S."
FRAU ARETANO (CH/PLPE),,87865+A,S,"87*865 + a	Frau Aretano (CH/PLPE).Hilb, Martin.   Integrierte Erfolgsbewertung von Unter-nehmen: Zufriedenheit und Loyalität von Eigentümern,Kunden, Mitarbeitern, Oeffentlichkeit. Mit Planspielbox,(Neuwied: Hermann} Luchterhand (Verlag GmbH, 1997.-24cm.20"
FRAU ARETANO (CH/PLPE),,87866,S,"87*866	Frau Aretano (CH/PLPE)Management der Human Ressourcen. Neue Führungskonzepteim Praxistest hrsg. von Martin Hilb.(Neuwied: Hermann) Luchterhand (Verlag GmbH, 1998).-24cm.VI,263 S,"
FRAU ARETANO (CH/PLPE),,87867,S,"87'867	Frau Aretano (CH/PLPE)Hilb, Martin.   Management by Mentoring. Ein wiederent-decktes Konzept zur Personalentwicklung(Neuwied: Hermann) Luchterhand (Verlag GmbH, 1997).-19cm.112 S."
BICHSEL (CH/PMMM),A.,87868,S,"87*868	Bichsel, A.(CH/PMMM)Handbuch Kundenbindungsmanagement. Grundlagen, Konzepte,Erfahrungen. Hrsg.von Manfred Brunn, Christian Homburg.(Wiesbaden: Betriebswirtschaftlicher Verlag Dr. Th.)Gabler (GmbH, 1998	-24cm.XIV;.7ll S."
PELLET (FI/L),,87869,S,"87l869	Pellet (FI/L)Mietrecht, schweizerisches. Kommentar. Hrsg. vom Schwei-zerischen Verband der Immobilien-Treuhänder SVIT. (2.,erweiterte und nachgeführte Auflage. Autorenteam: MartinUsteri, Raymond Bisang u.a.).( Zürich,) :SVIT-Verlag, (1998).        "
FRAU SCHREIBER (CH/UNS),TH.,87870,S,"87870	Frau Th. Schreiber(CH/UNS)Langenscheidt.   L 's Taschenwörterbuch Italienisch: Ita-lienisch-Deutsch/Deutsch-Italienisch von VladimiroMacchi und Walter Frenzel. (2. Auflage).Berlin: Langenscheidt (KG, 1998).	-16cm.1244 S."
FRAU SCHREIBER (CH/UNS),TH.,87871,S,87'871	Frau Th. Schreiber (CH/UNS)______Langenscheidt.   L's Taschenwörterbuch Französisch :Französisch.-Deut seh / Deutsch-Französisch von Ernst-ErwinLange-Kowal und. Eduard Weyrnuth. Neuauflage 1997 in derneuen deutschen Rechtschrteibung. (2. Auflage. T
FRAU SCHREIBER (CH/UNS),TH.,87872,S,"87'872	Frau Th. Schreiber (CH/UNS)Langenscheidt. T.ÌS Taschenwörterbuch Englisch: Eng-lisch-Deutsch / Deutsch-Englisch von Helmut Willmann,Gisela Türck, Heinz Messinger. Neubearbeitung 1997 inder neuen deutschen Rechtschreibung. (3. Auflage).Berlin: Lange"
FRAU ZWAHLEN (MS/IB),,87873,S,"87'873	Frau Zwahlen (MS/IB)Heuer, Walter; Flückiger, Max; Gallmann, Peter.  Richti-ges Deutsch. Die Sprachschule für alle. 23., (vollstän-dig neu bearbeitete Auflage).(Zürich): Verlag Neue Zürcher Zeitung, (1997).-22cm.493 S."
FRAU TSCHUOR (MS/IB),,87874,S,"87'874	Frau Tschuor (MS/IB)Heuer, Walter; Flückiger, Max; Gallmann, Peter.  Richti-ges Deutsch. Die Sprachschule für alle. 23., (vollstän-dig neu bearbeitete Auflage).(Zürich): Verlag Neue Zürcher Zeitung, (1997).-22cm.493 S,"
FRAU BERTINO-GEMPERLE (CH/IE),,87875,S,"87*875.	Frau Bertino-Gemperle (CH/IE)Heuer, Walter; Flückiger, Max; Gallmann, Peter. Rich-tiges Deutsch. Die Sprachschule für alle. 23., (voll-ständig neu bearbeitete Auflage).{Zürich): Verlag Neue Zürcher Zeitung, (1997 ).-22cm.493 S."
FRAU RECHSTEINER (MS),,87876,S,"87'876	Frau Rechsteiner (MS)______Wörterbuch, das neue deutsche, für Schule und Beruf.(Heyne Sachbuch. 19/2000).München: Wilhelm Heyne Verlag, (1997).	-18cm.XXXVI,1064 S."
FRAU RECHSTEINER (FI),,87877,S,"87*877	Frau Rechsteiner (FI)Wörterbuch, das neue deutsche, für Schule und Beruf.(Heyne Sachbuch. 19/2000).München: Wilhelm Heyne Verlag, (1997).	-18cm.XXXVI,1064 S."
FRAU MORGANTI (CH/IT),,87878,S,"87'878	Frau Morganti (CH/IT)Langenscheidt.  L's Handwörterbuch Italienisch. VölligeNeuentwicklung 1997. In Zusammenarbeit mit Paravia ...Berlin: Langenscheidt (KG, 1997).     -25cm.XVII,1008+1151+48 S."
FRAU MAIER (CH/IE),ASTRID,87879,S,"87'879	Frau Astrid Maier (CH/IE)Data warehouseüfecycle toolkit, the. Expert methods forgdesigning, developing and deploying data warehouses. ByRalph Kimball, Margy Ross a.o.New York: John Wiley & Sons, Inc., 1998.	-24cm.XVIII,771 p.,1 CD-ROM."
SIMONET (CH/UNS),D.,87880,S,"87'880	Simonet, D. (CH/UNS)Gulbìns, Jürgen,- Obermayr, Karl.   UNIX System V.4.Begriffe, Konzepte, Kommandos, Schnittstellen. 4., über-arbeitete Auflage. (Springer Compass).(Berlin): Springer-Verlag, 1995.         -24cm.X,838 S."
SIMONET (CH/UNS),D.,87881,S,"87-881	Simonet, D.(CH/ÜNS)-,Stroustrup, Bjarne.   Die C++-Programmiersprache. 3.,aktualisierte und erweiterte Auflage. (1., korrigierterNachdruck). Deutsche Uebersetzung von Nicolai Josuttisund Achim Lorke.Bonn: Addison-Wesley Longman (Verlag GmbH, 1998)."
SIMONET (CH/UNS),D.,87882,S,"87'882	Simonet, D. (CH/UNS)Oestereich, Bernd.   Objektorientierte Softwareentwick-lung. Analyse und Design mit der Unified Modeling lan-guage. 4., aktualisierte Auflage.München: R.Oldenbourg Verlag, 1998.       -25cm.375 S"
